recv_ns,block_number,block_timestamp_s,updated_at_s,price_usd,round_id,symbol
1772524912917054700,83702442,1772524915,1772524915,68161.30,3343922,BTC
1772524946690508100,83702459,1772524949,1772524949,68163.88,3343923,BTC
1772525310712139000,83702641,1772525313,1772525313,68083.71,3343934,BTC
1772525342984006700,83702657,1772525345,1772525345,68093.09,3343935,BTC
1772525380912111600,83702676,1772525383,1772525383,68159.74,3343936,BTC
1772525444953241400,83702708,1772525447,1772525447,68196.25,3343937,BTC
1772525475048911400,83702723,1772525477,1772525477,68229.42,3343938,BTC
1772525508781122800,83702740,1772525511,1772525511,68263.80,3343939,BTC
1772525540819504000,83702756,1772525543,1772525543,68182.10,3343940,BTC
1772525574938957700,83702773,1772525577,1772525577,68190.51,3343941,BTC
1772525606966313700,83702789,1772525609,1772525609,68206.36,3343942,BTC
1772525640737826400,83702806,1772525643,1772525643,68184.23,3343943,BTC
1772525673105547300,83702822,1772525675,1772525675,68085.00,3343944,BTC
1772525685043006500,83702828,1772525687,1772525687,67992.10,3343945,BTC
1772525718978207600,83702845,1772525721,1772525721,67969.29,3343946,BTC
1772525750703266700,83702861,1772525753,1772525753,67997.46,3343947,BTC
1772525782852472300,83702877,1772525785,1772525785,68005.88,3343948,BTC
1772525817070371600,83702894,1772525819,1772525819,67968.17,3343949,BTC
1772525850842328500,83702911,1772525853,1772525853,68002.16,3343950,BTC
1772525883174858700,83702927,1772525885,1772525885,68035.67,3343951,BTC
1772525914768161300,83702943,1772525917,1772525917,68085.49,3343952,BTC
1772525948867867300,83702960,1772525951,1772525951,68028.71,3343953,BTC
1772525961118165800,83702966,1772525963,1772525963,67948.73,3343954,BTC
1772526002922301900,83702987,1772526005,1772526005,67984.11,3343955,BTC
1772526036954793600,83703004,1772526039,1772526039,67967.14,3343956,BTC
1772526059024290600,83703015,1772526061,1772526061,67883.15,3343957,BTC
1772526092788440900,83703032,1772526095,1772526095,67863.61,3343958,BTC
1772526124759613800,83703048,1772526127,1772526127,67907.85,3343959,BTC
1772526158763016800,83703065,1772526161,1772526161,67926.98,3343960,BTC
1772526190682092100,83703081,1772526193,1772526193,67914.37,3343961,BTC
1772526224740180000,83703098,1772526227,1772526227,67938.86,3343962,BTC
1772526256751779200,83703114,1772526259,1772526259,67935.02,3343963,BTC
1772526290950581600,83703131,1772526293,1772526293,67932.84,3343964,BTC
1772526322999934500,83703147,1772526325,1772526325,67904.14,3343965,BTC
1772526367064521400,83703169,1772526369,1772526369,67798.91,3343966,BTC
1772526400765372700,83703186,1772526403,1772526403,67774.34,3343967,BTC
1772526422878210600,83703197,1772526425,1772526425,67842.71,3343968,BTC
1772526454657331300,83703213,1772526457,1772526457,67814.58,3343969,BTC
1772526488824762500,83703230,1772526491,1772526491,67812.36,3343970,BTC
1772526520594715400,83703246,1772526523,1772526523,67818.11,3343971,BTC
1772526554870968700,83703263,1772526557,1772526557,67770.32,3343972,BTC
1772526586654438500,83703279,1772526589,1772526589,67768.65,3343973,BTC
1772526643065842000,83703307,1772526645,1772526645,67734.88,3343974,BTC
1772526650833445100,83703311,1772526653,1772526653,67657.98,3343975,BTC
1772526686998230000,83703329,1772526689,1772526689,67680.00,3343976,BTC
1772526718695396000,83703345,1772526721,1772526721,67655.81,3343977,BTC
1772526752830682100,83703362,1772526755,1772526755,67600.06,3343978,BTC
1772526784886715800,83703378,1772526787,1772526787,67598.76,3343979,BTC
1772526818660565300,83703395,1772526821,1772526821,67622.51,3343980,BTC
1772526850646534600,83703411,1772526853,1772526853,67639.77,3343981,BTC
1772526884581084800,83703428,1772526887,1772526887,67629.42,3343982,BTC
1772526916834977100,83703444,1772526919,1772526919,67597.63,3343983,BTC
1772526950682091600,83703461,1772526953,1772526953,67645.49,3343984,BTC
1772526984767725400,83703478,1772526987,1772526987,67691.70,3343985,BTC
1772527016701762300,83703494,1772527019,1772527019,67704.27,3343986,BTC
1772527048683933000,83703510,1772527051,1772527051,67686.18,3343987,BTC
1772527082997811100,83703527,1772527085,1772527085,67595.48,3343988,BTC
1772527116771457900,83703544,1772527119,1772527119,67608.95,3343989,BTC
1772527148886051700,83703560,1772527151,1772527151,67549.18,3343990,BTC
1772527182718611900,83703577,1772527185,1772527185,67535.54,3343991,BTC
1772527235064099500,83703603,1772527237,1772527237,67455.88,3343992,BTC
1772527270915667700,83703621,1772527273,1772527273,67434.95,3343993,BTC
1772527302724368800,83703637,1772527305,1772527305,67439.74,3343994,BTC
1772527336798363400,83703654,1772527339,1772527339,67397.36,3343995,BTC
1772527368651050300,83703670,1772527371,1772527371,67375.67,3343996,BTC
1772527402712078200,83703687,1772527405,1772527405,67386.63,3343997,BTC
1772527434674867000,83703703,1772527437,1772527437,67356.84,3343998,BTC
1772527468701253200,83703720,1772527471,1772527471,67316.12,3343999,BTC
1772527500685942100,83703736,1772527503,1772527503,67337.84,3344000,BTC
1772527544987589200,83703758,1772527547,1772527547,67286.36,3344001,BTC
1772527578917617600,83703775,1772527581,1772527581,67325.53,3344002,BTC
1772527611079242300,83703791,1772527613,1772527613,67212.00,3344003,BTC
1772527644742148200,83703808,1772527647,1772527647,67208.99,3344004,BTC
1772527676827787700,83703824,1772527679,1772527679,67225.00,3344005,BTC
1772527710867720700,83703841,1772527713,1772527713,67182.38,3344006,BTC
1772527742742944300,83703857,1772527745,1772527745,67158.39,3344007,BTC
1772527776927333100,83703874,1772527779,1772527779,67125.82,3344008,BTC
1772527810993363900,83703891,1772527813,1772527813,67121.47,3344009,BTC
1772527842763831200,83703907,1772527845,1772527845,67090.95,3344010,BTC
1772527876617819600,83703924,1772527879,1772527879,67147.88,3344011,BTC
1772527908816877000,83703940,1772527911,1772527911,67091.02,3344012,BTC
1772527942585318600,83703957,1772527945,1772527945,67108.02,3344013,BTC
1772527974700252000,83703973,1772527977,1772527977,67108.33,3344014,BTC
1772528008670982100,83703990,1772528011,1772528011,67098.52,3344015,BTC
1772528040760648800,83704006,1772528043,1772528043,67117.73,3344016,BTC
1772528074804844800,83704023,1772528077,1772528077,67096.10,3344017,BTC
1772528107027604500,83704039,1772528109,1772528109,67075.00,3344018,BTC
1772528126857759300,83704049,1772528129,1772528129,66975.81,3344019,BTC
1772528162829254200,83704067,1772528165,1772528165,66992.64,3344020,BTC
1772528194812459600,83704083,1772528197,1772528197,66922.01,3344021,BTC
1772528228719028300,83704100,1772528231,1772528231,66935.00,3344022,BTC
1772528260588009200,83704116,1772528263,1772528263,66905.40,3344023,BTC
1772528294610546100,83704133,1772528297,1772528297,67009.63,3344024,BTC
1772528326628744500,83704149,1772528329,1772528329,67006.82,3344025,BTC
1772528350729559600,83704161,1772528353,1772528353,66939.56,3344026,BTC
1772528382605948800,83704177,1772528385,1772528385,66984.51,3344027,BTC
1772528414895336100,83704193,1772528417,1772528417,66956.20,3344028,BTC
1772528462980686700,83704217,1772528465,1772528465,67058.67,3344029,BTC
1772528504747913800,83704238,1772528507,1772528507,67024.74,3344030,BTC
1772528537932762400,83704254,1772528539,1772528539,67023.43,3344031,BTC
1772528570691292300,83704271,1772528573,1772528573,67014.40,3344032,BTC
1772528602614674000,83704287,1772528605,1772528605,67002.07,3344033,BTC
1772528634722969600,83704303,1772528637,1772528637,67012.75,3344034,BTC
1772528668778832800,83704320,1772528671,1772528671,66986.93,3344035,BTC
1772528702941333700,83704337,1772528705,1772528705,66952.82,3344036,BTC
1772528722853765000,83704347,1772528725,1772528725,66881.44,3344037,BTC
1772528744632481500,83704358,1772528747,1772528747,66971.90,3344038,BTC
1772528778957963400,83704375,1772528781,1772528781,67060.00,3344039,BTC
1772528812718562800,83704392,1772528815,1772528815,67065.24,3344040,BTC
1772528844654166500,83704408,1772528847,1772528847,67062.51,3344041,BTC
1772528878619670800,83704425,1772528881,1772528881,67058.94,3344042,BTC
1772528910887343300,83704441,1772528913,1772528913,67129.93,3344043,BTC
1772528944724752500,83704458,1772528947,1772528947,67146.59,3344044,BTC
1772528976586845600,83704474,1772528979,1772528979,67157.98,3344045,BTC
1772529010899819000,83704491,1772529013,1772529013,67100.00,3344046,BTC
1772529042737420200,83704507,1772529045,1772529045,67071.29,3344047,BTC
1772529076650189600,83704524,1772529079,1772529079,67138.76,3344048,BTC
1772529108564333600,83704540,1772529111,1772529111,67116.50,3344049,BTC
1772529142901785800,83704557,1772529145,1772529145,67073.92,3344050,BTC
1772529174713580700,83704573,1772529177,1772529177,67039.94,3344051,BTC
1772529208663039800,83704590,1772529211,1772529211,67064.28,3344052,BTC
1772529240634998500,83704606,1772529243,1772529243,67072.45,3344053,BTC
1772529274644751000,83704623,1772529277,1772529277,67103.52,3344054,BTC
1772529306987941900,83704639,1772529309,1772529309,67062.65,3344055,BTC
1772529340780670900,83704656,1772529343,1772529343,67079.53,3344056,BTC
1772529372788101000,83704672,1772529375,1772529375,67088.77,3344057,BTC
1772529416788208200,83704694,1772529419,1772529419,67052.60,3344058,BTC
1772529450740488000,83704711,1772529453,1772529453,67031.98,3344059,BTC
1772529472804951000,83704722,1772529475,1772529475,67117.26,3344060,BTC
1772529506662188000,83704739,1772529509,1772529509,67102.56,3344061,BTC
1772529538714545300,83704755,1772529541,1772529541,67093.00,3344062,BTC
1772529570724533400,83704771,1772529573,1772529573,67085.68,3344063,BTC
1772529604876980900,83704788,1772529607,1772529607,67113.50,3344064,BTC
1772529638687080500,83704805,1772529641,1772529641,67084.78,3344065,BTC
1772529670791950400,83704821,1772529673,1772529673,67060.90,3344066,BTC
1772529704491041900,83704838,1772529707,1772529707,67054.77,3344067,BTC
1772529736617176500,83704854,1772529739,1772529739,67029.72,3344068,BTC
1772529770619397100,83704871,1772529773,1772529773,67050.18,3344069,BTC
1772529803019502800,83704887,1772529805,1772529805,67046.10,3344070,BTC
1772529836567371400,83704904,1772529839,1772529839,67013.88,3344071,BTC
1772529858698086300,83704915,1772529861,1772529861,66937.94,3344072,BTC
1772529890595386200,83704931,1772529893,1772529893,66977.75,3344073,BTC
1772529924593563500,83704948,1772529927,1772529927,66983.69,3344074,BTC
1772529956825495200,83704964,1772529959,1772529959,66946.31,3344075,BTC
1772529990858026900,83704981,1772529993,1772529993,66880.29,3344076,BTC
1772530012746895400,83704992,1772530015,1772530015,66768.17,3344077,BTC
1772530044524774200,83705008,1772530047,1772530047,66745.47,3344078,BTC
1772530078568470200,83705025,1772530081,1772530081,66670.03,3344079,BTC
1772530110507731500,83705041,1772530113,1772530113,66591.01,3344080,BTC
1772530144540081800,83705058,1772530147,1772530147,66616.82,3344081,BTC
1772530176508565300,83705074,1772530179,1772530179,66628.68,3344082,BTC
1772530210838154100,83705091,1772530213,1772530213,66607.36,3344083,BTC
1772530254812061400,83705113,1772530257,1772530257,66571.12,3344084,BTC
1772530298839461700,83705135,1772530301,1772530301,66486.64,3344085,BTC
1772530338816728700,83705155,1772530341,1772530341,66371.34,3344086,BTC
1772530346895282800,83705159,1772530349,1772530349,66446.37,3344087,BTC
1772530386656940600,83705179,1772530389,1772530389,66513.91,3344088,BTC
1772530420775649400,83705196,1772530423,1772530423,66601.03,3344089,BTC
1772530464815431900,83705218,1772530467,1772530467,66595.95,3344090,BTC
1772530520859400800,83705246,1772530523,1772530523,66621.10,3344091,BTC
1772530552804791700,83705262,1772530555,1772530555,66598.22,3344092,BTC
1772530584664600300,83705278,1772530587,1772530587,66586.97,3344093,BTC
1772530618611815700,83705295,1772530621,1772530621,66589.55,3344094,BTC
1772530640867507500,83705306,1772530643,1772530643,66506.99,3344095,BTC
1772530672667569700,83705322,1772530675,1772530675,66527.86,3344096,BTC
1772530706799174400,83705339,1772530709,1772530709,66643.33,3344097,BTC
1772530738800463800,83705355,1772530741,1772530741,66662.71,3344098,BTC
1772530772709544600,83705372,1772530775,1772530775,66619.59,3344099,BTC
1772530804805035800,83705388,1772530807,1772530807,66615.07,3344100,BTC
1772530838607989300,83705405,1772530841,1772530841,66587.85,3344101,BTC
1772530870706693100,83705421,1772530873,1772530873,66564.42,3344102,BTC
1772530904948772500,83705438,1772530907,1772530907,66532.15,3344103,BTC
1772530936482966700,83705454,1772530939,1772530939,66536.32,3344104,BTC
1772530970626777000,83705471,1772530973,1772530973,66524.28,3344105,BTC
1772531002819622600,83705487,1772531005,1772531005,66542.09,3344106,BTC
1772531036754718700,83705504,1772531039,1772531039,66537.82,3344107,BTC
1772531069625753300,83705520,1772531071,1772531071,66504.56,3344108,BTC
1772531102779254700,83705537,1772531105,1772531105,66532.36,3344109,BTC
1772531134601498100,83705553,1772531137,1772531137,66501.47,3344110,BTC
1772531168612704900,83705570,1772531171,1772531171,66492.48,3344111,BTC
1772531200619757700,83705586,1772531203,1772531203,66471.60,3344112,BTC
1772531234537159800,83705603,1772531237,1772531237,66465.67,3344113,BTC
1772531266531923300,83705619,1772531269,1772531269,66473.66,3344114,BTC
1772531300505953800,83705636,1772531303,1772531303,66469.63,3344115,BTC
1772531334678800900,83705653,1772531337,1772531337,66447.85,3344116,BTC
1772531366688452800,83705669,1772531369,1772531369,66429.05,3344117,BTC
1772531398675885100,83705685,1772531401,1772531401,66448.31,3344118,BTC
1772531432630949500,83705702,1772531435,1772531435,66457.18,3344119,BTC
1772531466754637900,83705719,1772531469,1772531469,66409.82,3344120,BTC
1772531498716413200,83705735,1772531501,1772531501,66464.85,3344121,BTC
1772531532749067800,83705752,1772531535,1772531535,66433.89,3344122,BTC
1772531564886358200,83705768,1772531567,1772531567,66506.97,3344123,BTC
1772531598688837400,83705785,1772531601,1772531601,66528.98,3344124,BTC
1772531630539411300,83705801,1772531633,1772531633,66521.19,3344125,BTC
1772531664924357700,83705818,1772531667,1772531667,66541.66,3344126,BTC
1772531698793989700,83705835,1772531701,1772531701,66496.36,3344127,BTC
1772531718915615500,83705845,1772531721,1772531721,66567.44,3344128,BTC
1772531752937327700,83705862,1772531755,1772531755,66609.12,3344129,BTC
1772531784702794700,83705878,1772531787,1772531787,66607.13,3344130,BTC
1772531818703265400,83705895,1772531821,1772531821,66621.82,3344131,BTC
1772531850628246600,83705911,1772531853,1772531853,66635.76,3344132,BTC
1772531884647964700,83705928,1772531887,1772531887,66630.41,3344133,BTC
1772531916547381400,83705944,1772531919,1772531919,66628.84,3344134,BTC
1772531950505473500,83705961,1772531953,1772531953,66626.26,3344135,BTC
1772531982535683200,83705977,1772531985,1772531985,66629.89,3344136,BTC
1772532016772765600,83705994,1772532019,1772532019,66581.35,3344137,BTC
1772532048685993600,83706010,1772532051,1772532051,66593.98,3344138,BTC
1772532082598607700,83706027,1772532085,1772532085,66564.64,3344139,BTC
1772532114619649100,83706043,1772532117,1772532117,66522.00,3344140,BTC
1772532148549730600,83706060,1772532151,1772532151,66530.47,3344141,BTC
1772532182591870700,83706077,1772532185,1772532185,66478.75,3344142,BTC
1772532214569712200,83706093,1772532217,1772532217,66500.27,3344143,BTC
1772532246716172800,83706109,1772532249,1772532249,66558.93,3344144,BTC
1772532280869381500,83706126,1772532283,1772532283,66640.13,3344145,BTC
